Q8BUV8
P62874
Q45VK7
P62908
Q8BGJ9
Q02257
Q9CRC0
E9Q557
Q9Z0M9
P60894
Q3UV17
P63213
O35593
Q8BH61
B2RSH2
O08677
Q9EQI5
Q01339
P51910
A0A075B5N9
P11087
P07901
A2AQ25
P97350
Q02105
E9PV24
Q8CJH3
Q9CY50
P07356
B1AR17
Q5XJY5
P10126
Q5DTT1
Q05D44
P01029
Q03385
P62830
Q64310
Q8K2B3
Q811G0
Q9R1P0
A0A075B5J9
A0A140T8N3
P28798
Q8VC03
Q8R1V4
Q9DBH5
Q9D6F9
Q8CGR7
Q80VR3
P11680
A0A0B4J1H6
Q9R1P4
P43142
Q61171
Q80Y37
Q6RT24
Q6ZWN5
Q5DTT3
Q922W5
P17897
Q792Z1
P62192
P54869
Q64511
P97351
P20918
P63037
P97461
Q61549
Q9CPN9
Q9NZT1
P02679
P02671
P00488
P81605
P12259
P02763
Q9NRN7
Q96P48
P98161
Q3SYG4
A0A075B6R9
Q6ZRF8
Q9P244
O15034
Q14624
Q96AA8
P61626
Q12899
P12273
Q02413
Q91Z83
Q5SX39
Q5SX40
P13542
B1AR69
G3UW82
Q02566
P17156
P63017
P13541
P21107
P20029
D3Z2H9
P16627
A2AQP0
P58771
Q8R429
Q61696
P17879
P58774
Q64518
P09813
P46471
Q3V132
P48962
P51881
P33622
Q8VG96
O55143
P01837
P17751
A6ZI47
P05064
P01942
A0A1D5RLD8
P16858
S4R1W1
E9Q557
P56480
P10126
P62631
P17742
P62908
P03995
A0A075B5J9
A0A075B5K3
P07724
P62196
O35593
Q9QZ47
O88346
P17182
Q03265
O88992
A0A2R8VHP3
Q9R0Y5
P07356
P97461
P09542
P05977
Q60605
P38647
P01867
Q8CFR0
Q9ESN4
Q9CPN9
P02088
P02104
A8DUK4
P02089
Q9WTI7
Q01149
Q8BMS1
P21550
Q02257
P61021
Q9DBJ1
O70250
Q792Z1
Q6IFZ8
P17183
P10639
Q8CGK7
P60843
P10630
Q62082
P35979
F8VPN2
Q8VHS6
P07310
Q9JJD0
O35493
P52480
P56716
P11021
P11142
P54652
Q02818
P38405
P02768
P02763
P31944
P31151
P06576
Q5JWF2
P47989
P81605
P19652
P34931
P17066
P25705
P05413
P15924
P0DMV9
Q86YZ3
Q02413
P01024
P02652
P35030
P61626
Q86SG5
Q13410
P06858
Q99541
P14923
P34096
Q08431
Q08554
P59665
P59666
P48741
Q01469
P14136
P35998
Q05639
P68104
Q5VTE0
P02788
P06702
Q9NZT1
P23396
A5A3E0
P0CG39
Q6S8J3
P0CG38
P02655
P14207
P56693
Q06830
Q9UM21
P16671
Q8N8B7
P25311
A6NMY6
P07355
P02656
O00391
Q9NP72
P01040
P05452
P38646
Q9BXF6
P05089
P12236
P05141
P12235
Q9H0C2
Q9UFE4
Q99623
P16615
Q93084
O14983
P02100
P02042
P69891
P68871
P69892
P05090
Q96P63
P49748
Q13162
Q96EK4
P07477
Q9BYE2
Q8WVC0
P40939
Q5DT21
Q9NQB0
Q6UWX4
Q9P2E3
Q7Z2X4
P62805
P80303
Q8IV50
A6NGH7
P69905
Q15269
A0A0B4J2E5
Q99943
P11142
P54652
P38405
P11021
P17066
P34931
Q5JWF2
P06576
P0DMV9
P48741
P35998
P25705
P14136
Q02413
Q05639
P07900
P08238
Q12931
P68104
P04406
P14923
P49748
Q9NZT1
P15880
P81605
Q5VTE0
P05067
Q08554
P31944
P61026
Q05516
P62820
Q96E17
P56693
O60264
Q14964
P02768
P20336
Q86YS6
P61106
P20337
P59190
P05109
P61006
Q13033
Q9NRW1
Q6ZP65
Q6IQ22
P20338
P07355
Q9H082
Q92928
P61018
Q6ZR08
P16615
P05089
Q96L92
Q8WUA7
Q93084
Q9BXF6
Q96AX2
P61020
O95716
P28325
O14983
Q9H0U4
Q15286
Q15771
P04040
P20340
Q96DA2
Q92930
P15924
Q9P0W8
Q8NFT2
P62714
Q8WVC0
P67775
Q9NQ66
Q32P51
Q6UX06
Q9C099
Q9H0C2
O00487
Q9BYE2
P49368
P09651
P02769
P63017
P17156
P20029
P01837
P16627
Q8CGK7
A8DUK4
Q61696
P17879
A0A2R8VHP3
Q6R0H7
Q6IFZ8
P56480
P03995
P12023
P02088
Q02257
P10126
P62631
P07901
Q9CQN1
P11499
Q04888
A0A075B5J9
A0A075B5K3
Q8VG96
P46471
E9Q557
Q5XJE5
P25444
P02070
P02104
P02089
P07724
Q3UBG2
Q80VP2
P01942
Q3U2E2
Q8R361
Q03265
Q3UZZ4
Q64518
O55143
Q8R429
